,REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
32,NSW1,2015/08/01 16:30:00,7705.93,35.17,TRADE
33,NSW1,2015/08/01 17:00:00,7951.24,35.44,TRADE
34,NSW1,2015/08/01 17:30:00,8328.4,35.26,TRADE
35,NSW1,2015/08/01 18:00:00,8944.31,36.27,TRADE
36,NSW1,2015/08/01 18:30:00,9110.23,36.69,TRADE
37,NSW1,2015/08/01 19:00:00,8986.45,35.52,TRADE
38,NSW1,2015/08/01 19:30:00,8730.24,35.02,TRADE
39,NSW1,2015/08/01 20:00:00,8577.31,35.02,TRADE
40,NSW1,2015/08/01 20:30:00,8425.07,35.37,TRADE
41,NSW1,2015/08/01 21:00:00,8340.09,35.02,TRADE
42,NSW1,2015/08/01 21:30:00,8168.11,35.02,TRADE
43,NSW1,2015/08/01 22:00:00,8062.4,35.34,TRADE
44,NSW1,2015/08/01 22:30:00,8090.17,35.84,TRADE
45,NSW1,2015/08/01 23:00:00,7900.26,35.17,TRADE
46,NSW1,2015/08/01 23:30:00,7804.7,35.33,TRADE
47,NSW1,2015/08/02 00:00:00,7603.37,35.0,TRADE
48,NSW1,2015/08/02 00:30:00,7386.92,37.06,TRADE
49,NSW1,2015/08/02 01:00:00,7180.52,35.59,TRADE
50,NSW1,2015/08/02 01:30:00,7024.52,34.11,TRADE
51,NSW1,2015/08/02 02:00:00,6813.1,32.49,TRADE
52,NSW1,2015/08/02 02:30:00,6532.76,31.72,TRADE
53,NSW1,2015/08/02 03:00:00,6351.62,29.46,TRADE
54,NSW1,2015/08/02 03:30:00,6226.83,26.35,TRADE
55,NSW1,2015/08/02 04:00:00,6110.11,24.9,TRADE
56,NSW1,2015/08/02 04:30:00,5994.9,24.89,TRADE
57,NSW1,2015/08/02 05:00:00,6061.15,25.43,TRADE
58,NSW1,2015/08/02 05:30:00,6117.39,26.0,TRADE
59,NSW1,2015/08/02 06:00:00,6206.32,25.34,TRADE
60,NSW1,2015/08/02 06:30:00,6431.34,25.77,TRADE
61,NSW1,2015/08/02 07:00:00,6664.41,25.46,TRADE
62,NSW1,2015/08/02 07:30:00,6912.41,26.91,TRADE
63,NSW1,2015/08/02 08:00:00,7386.27,29.68,TRADE
64,NSW1,2015/08/02 08:30:00,7635.72,31.27,TRADE
65,NSW1,2015/08/02 09:00:00,7805.12,32.65,TRADE
66,NSW1,2015/08/02 09:30:00,7903.89,31.4,TRADE
67,NSW1,2015/08/02 10:00:00,7860.01,30.73,TRADE
68,NSW1,2015/08/02 10:30:00,7787.25,29.1,TRADE
69,NSW1,2015/08/02 11:00:00,7525.3,25.47,TRADE
70,NSW1,2015/08/02 11:30:00,7361.61,25.42,TRADE
71,NSW1,2015/08/02 12:00:00,7310.78,25.46,TRADE
72,NSW1,2015/08/02 12:30:00,7288.62,25.85,TRADE
73,NSW1,2015/08/02 13:00:00,7218.04,25.46,TRADE
74,NSW1,2015/08/02 13:30:00,7124.76,25.46,TRADE
75,NSW1,2015/08/02 14:00:00,7067.03,25.45,TRADE
76,NSW1,2015/08/02 14:30:00,7017.12,25.46,TRADE
77,NSW1,2015/08/02 15:00:00,7067.52,25.46,TRADE
78,NSW1,2015/08/02 15:30:00,7106.49,25.46,TRADE
79,NSW1,2015/08/02 16:00:00,7219.04,25.97,TRADE
80,NSW1,2015/08/02 16:30:00,7441.35,28.79,TRADE
81,NSW1,2015/08/02 17:00:00,7623.78,30.06,TRADE
82,NSW1,2015/08/02 17:30:00,8031.81,33.21,TRADE
83,NSW1,2015/08/02 18:00:00,8698.97,37.01,TRADE
84,NSW1,2015/08/02 18:30:00,8986.13,36.48,TRADE
85,NSW1,2015/08/02 19:00:00,8890.29,35.5,TRADE
86,NSW1,2015/08/02 19:30:00,8664.53,33.25,TRADE
87,NSW1,2015/08/02 20:00:00,8497.36,31.87,TRADE
88,NSW1,2015/08/02 20:30:00,8319.15,32.04,TRADE
89,NSW1,2015/08/02 21:00:00,8171.92,31.52,TRADE
90,NSW1,2015/08/02 21:30:00,7983.24,29.63,TRADE
91,NSW1,2015/08/02 22:00:00,7786.42,28.56,TRADE
92,NSW1,2015/08/02 22:30:00,7768.11,31.31,TRADE
93,NSW1,2015/08/02 23:00:00,7532.29,25.85,TRADE
94,NSW1,2015/08/02 23:30:00,7515.73,31.18,TRADE
95,NSW1,2015/08/03 00:00:00,7333.04,29.3,TRADE
96,NSW1,2015/08/03 00:30:00,7114.7,30.76,TRADE
97,NSW1,2015/08/03 01:00:00,6980.01,30.16,TRADE
98,NSW1,2015/08/03 01:30:00,6771.93,26.03,TRADE
99,NSW1,2015/08/03 02:00:00,6648.04,23.14,TRADE
100,NSW1,2015/08/03 02:30:00,6382.95,20.9,TRADE
101,NSW1,2015/08/03 03:00:00,6233.37,15.82,TRADE
102,NSW1,2015/08/03 03:30:00,6135.45,18.96,TRADE
103,NSW1,2015/08/03 04:00:00,6049.34,18.19,TRADE
104,NSW1,2015/08/03 04:30:00,6093.97,19.92,TRADE
105,NSW1,2015/08/03 05:00:00,6206.24,20.24,TRADE
106,NSW1,2015/08/03 05:30:00,6582.26,27.77,TRADE
107,NSW1,2015/08/03 06:00:00,7046.6,27.65,TRADE
108,NSW1,2015/08/03 06:30:00,7851.31,26.87,TRADE
109,NSW1,2015/08/03 07:00:00,8580.59,39.81,TRADE
110,NSW1,2015/08/03 07:30:00,9111.18,40.5,TRADE
111,NSW1,2015/08/03 08:00:00,9460.03,50.38,TRADE
112,NSW1,2015/08/03 08:30:00,9421.7,46.67,TRADE
113,NSW1,2015/08/03 09:00:00,9191.66,35.34,TRADE
114,NSW1,2015/08/03 09:30:00,9110.84,35.52,TRADE
115,NSW1,2015/08/03 10:00:00,8909.3,35.54,TRADE
116,NSW1,2015/08/03 10:30:00,8806.75,34.73,TRADE
117,NSW1,2015/08/03 11:00:00,8666.34,32.73,TRADE
118,NSW1,2015/08/03 11:30:00,8477.06,31.5,TRADE
119,NSW1,2015/08/03 12:00:00,8333.47,31.62,TRADE
120,NSW1,2015/08/03 12:30:00,8239.38,32.77,TRADE
121,NSW1,2015/08/03 13:00:00,8200.99,32.61,TRADE
122,NSW1,2015/08/03 13:30:00,8164.59,32.93,TRADE
123,NSW1,2015/08/03 14:00:00,8141.05,34.44,TRADE
124,NSW1,2015/08/03 14:30:00,8112.67,34.91,TRADE
125,NSW1,2015/08/03 15:00:00,8125.74,34.97,TRADE
126,NSW1,2015/08/03 15:30:00,8179.48,34.91,TRADE
127,NSW1,2015/08/03 16:00:00,8301.67,34.9,TRADE
128,NSW1,2015/08/03 16:30:00,8617.62,32.93,TRADE
129,NSW1,2015/08/03 17:00:00,9061.56,35.25,TRADE
130,NSW1,2015/08/03 17:30:00,9730.14,37.13,TRADE
131,NSW1,2015/08/03 18:00:00,10514.23,73.32,TRADE
132,NSW1,2015/08/03 18:30:00,10719.19,87.52,TRADE
133,NSW1,2015/08/03 19:00:00,10606.34,64.74,TRADE
134,NSW1,2015/08/03 19:30:00,10417.66,47.23,TRADE
135,NSW1,2015/08/03 20:00:00,10277.38,44.41,TRADE
136,NSW1,2015/08/03 20:30:00,10046.92,37.77,TRADE
137,NSW1,2015/08/03 21:00:00,9808.25,35.85,TRADE
138,NSW1,2015/08/03 21:30:00,9570.36,35.26,TRADE
139,NSW1,2015/08/03 22:00:00,9193.94,31.66,TRADE
140,NSW1,2015/08/03 22:30:00,9107.9,35.58,TRADE
141,NSW1,2015/08/03 23:00:00,8805.54,32.62,TRADE
142,NSW1,2015/08/03 23:30:00,8629.9,34.53,TRADE
143,NSW1,2015/08/04 00:00:00,8541.07,34.71,TRADE
144,NSW1,2015/08/04 00:30:00,8314.83,35.35,TRADE
145,NSW1,2015/08/04 01:00:00,8097.24,35.79,TRADE
146,NSW1,2015/08/04 01:30:00,7920.59,35.16,TRADE
147,NSW1,2015/08/04 02:00:00,7696.77,35.1,TRADE
148,NSW1,2015/08/04 02:30:00,7417.98,36.06,TRADE
149,NSW1,2015/08/04 03:00:00,7152.74,35.34,TRADE
150,NSW1,2015/08/04 03:30:00,6973.89,35.06,TRADE
151,NSW1,2015/08/04 04:00:00,6860.58,34.77,TRADE
152,NSW1,2015/08/04 04:30:00,6871.4,34.3,TRADE
153,NSW1,2015/08/04 05:00:00,7004.23,35.23,TRADE
154,NSW1,2015/08/04 05:30:00,7339.45,38.54,TRADE
155,NSW1,2015/08/04 06:00:00,7867.01,36.28,TRADE
156,NSW1,2015/08/04 06:30:00,8707.87,31.47,TRADE
157,NSW1,2015/08/04 07:00:00,9592.85,36.69,TRADE
158,NSW1,2015/08/04 07:30:00,10114.16,53.11,TRADE
159,NSW1,2015/08/04 08:00:00,10493.85,67.23,TRADE
160,NSW1,2015/08/04 08:30:00,10439.17,41.45,TRADE
161,NSW1,2015/08/04 09:00:00,10155.51,36.65,TRADE
162,NSW1,2015/08/04 09:30:00,9992.48,40.63,TRADE
163,NSW1,2015/08/04 10:00:00,9913.04,42.12,TRADE
164,NSW1,2015/08/04 10:30:00,9722.49,35.48,TRADE
165,NSW1,2015/08/04 11:00:00,9483.1,35.76,TRADE
166,NSW1,2015/08/04 11:30:00,9277.84,36.58,TRADE
167,NSW1,2015/08/04 12:00:00,9129.5,36.01,TRADE
168,NSW1,2015/08/04 12:30:00,9016.65,35.96,TRADE
169,NSW1,2015/08/04 13:00:00,8930.85,35.92,TRADE
170,NSW1,2015/08/04 13:30:00,8862.36,34.1,TRADE
171,NSW1,2015/08/04 14:00:00,8774.81,34.35,TRADE
172,NSW1,2015/08/04 14:30:00,8731.79,35.12,TRADE
173,NSW1,2015/08/04 15:00:00,8637.77,35.21,TRADE
174,NSW1,2015/08/04 15:30:00,8652.59,34.13,TRADE
175,NSW1,2015/08/04 16:00:00,8862.57,37.0,TRADE
176,NSW1,2015/08/04 16:30:00,9197.59,38.46,TRADE
177,NSW1,2015/08/04 17:00:00,9625.51,37.83,TRADE
178,NSW1,2015/08/04 17:30:00,10317.26,42.95,TRADE
179,NSW1,2015/08/04 18:00:00,11160.69,60.0,TRADE
180,NSW1,2015/08/04 18:30:00,11463.39,65.98,TRADE
181,NSW1,2015/08/04 19:00:00,11414.66,61.15,TRADE
182,NSW1,2015/08/04 19:30:00,11250.21,55.95,TRADE
183,NSW1,2015/08/04 20:00:00,11032.95,46.82,TRADE
184,NSW1,2015/08/04 20:30:00,10884.95,43.95,TRADE
185,NSW1,2015/08/04 21:00:00,10677.44,46.84,TRADE
186,NSW1,2015/08/04 21:30:00,10305.34,37.51,TRADE
187,NSW1,2015/08/04 22:00:00,9846.95,33.38,TRADE
188,NSW1,2015/08/04 22:30:00,9656.04,36.59,TRADE
189,NSW1,2015/08/04 23:00:00,9196.1,31.24,TRADE
190,NSW1,2015/08/04 23:30:00,8991.98,34.83,TRADE
191,NSW1,2015/08/05 00:00:00,8769.83,33.48,TRADE
192,NSW1,2015/08/05 00:30:00,8526.54,36.03,TRADE
193,NSW1,2015/08/05 01:00:00,8330.48,37.3,TRADE
194,NSW1,2015/08/05 01:30:00,8129.46,36.23,TRADE
195,NSW1,2015/08/05 02:00:00,7830.9,34.24,TRADE
196,NSW1,2015/08/05 02:30:00,7549.06,34.08,TRADE
197,NSW1,2015/08/05 03:00:00,7225.01,29.45,TRADE
198,NSW1,2015/08/05 03:30:00,6965.28,27.58,TRADE
199,NSW1,2015/08/05 04:00:00,6883.11,26.18,TRADE
200,NSW1,2015/08/05 04:30:00,6844.31,26.21,TRADE
201,NSW1,2015/08/05 05:00:00,6958.08,29.17,TRADE
202,NSW1,2015/08/05 05:30:00,7281.26,32.1,TRADE
203,NSW1,2015/08/05 06:00:00,7804.14,39.22,TRADE
204,NSW1,2015/08/05 06:30:00,8690.04,27.27,TRADE
205,NSW1,2015/08/05 07:00:00,9599.87,41.87,TRADE
206,NSW1,2015/08/05 07:30:00,10207.77,45.32,TRADE
207,NSW1,2015/08/05 08:00:00,10556.29,63.41,TRADE
208,NSW1,2015/08/05 08:30:00,10522.15,50.35,TRADE
209,NSW1,2015/08/05 09:00:00,10273.17,45.22,TRADE
210,NSW1,2015/08/05 09:30:00,10165.29,46.87,TRADE
211,NSW1,2015/08/05 10:00:00,10042.77,43.84,TRADE
212,NSW1,2015/08/05 10:30:00,9954.47,44.42,TRADE
213,NSW1,2015/08/05 11:00:00,9916.19,38.51,TRADE
214,NSW1,2015/08/05 11:30:00,9731.41,37.05,TRADE
215,NSW1,2015/08/05 12:00:00,9653.63,38.6,TRADE
216,NSW1,2015/08/05 12:30:00,9584.14,38.33,TRADE
217,NSW1,2015/08/05 13:00:00,9541.49,41.78,TRADE
218,NSW1,2015/08/05 13:30:00,9501.3,41.09,TRADE
219,NSW1,2015/08/05 14:00:00,9396.54,41.11,TRADE
220,NSW1,2015/08/05 14:30:00,9395.38,41.96,TRADE
221,NSW1,2015/08/05 15:00:00,9334.53,37.11,TRADE
222,NSW1,2015/08/05 15:30:00,9313.16,38.49,TRADE
223,NSW1,2015/08/05 16:00:00,9462.08,42.23,TRADE
224,NSW1,2015/08/05 16:30:00,9694.86,40.37,TRADE
225,NSW1,2015/08/05 17:00:00,10066.51,45.13,TRADE
226,NSW1,2015/08/05 17:30:00,10724.16,70.44,TRADE
227,NSW1,2015/08/05 18:00:00,11550.46,97.06,TRADE
228,NSW1,2015/08/05 18:30:00,11755.17,103.81,TRADE
229,NSW1,2015/08/05 19:00:00,11753.02,111.64,TRADE
230,NSW1,2015/08/05 19:30:00,11450.06,66.68,TRADE
231,NSW1,2015/08/05 20:00:00,11268.29,66.32,TRADE
232,NSW1,2015/08/05 20:30:00,11135.34,63.83,TRADE
233,NSW1,2015/08/05 21:00:00,10850.65,52.43,TRADE
234,NSW1,2015/08/05 21:30:00,10459.38,45.48,TRADE
235,NSW1,2015/08/05 22:00:00,9980.74,36.34,TRADE
236,NSW1,2015/08/05 22:30:00,9739.78,43.29,TRADE
237,NSW1,2015/08/05 23:00:00,9346.45,39.72,TRADE
238,NSW1,2015/08/05 23:30:00,9018.67,35.19,TRADE
239,NSW1,2015/08/06 00:00:00,8777.59,35.26,TRADE
240,NSW1,2015/08/06 00:30:00,8519.5,35.78,TRADE
241,NSW1,2015/08/06 01:00:00,8324.85,36.03,TRADE
242,NSW1,2015/08/06 01:30:00,8180.63,36.25,TRADE
243,NSW1,2015/08/06 02:00:00,7914.74,35.51,TRADE
244,NSW1,2015/08/06 02:30:00,7543.61,36.02,TRADE
245,NSW1,2015/08/06 03:00:00,7248.51,35.91,TRADE
246,NSW1,2015/08/06 03:30:00,7017.55,35.52,TRADE
247,NSW1,2015/08/06 04:00:00,6893.29,35.14,TRADE
248,NSW1,2015/08/06 04:30:00,6887.76,35.83,TRADE
249,NSW1,2015/08/06 05:00:00,7019.38,35.59,TRADE
250,NSW1,2015/08/06 05:30:00,7402.39,40.24,TRADE
251,NSW1,2015/08/06 06:00:00,7889.76,39.78,TRADE
252,NSW1,2015/08/06 06:30:00,8803.39,32.9,TRADE
253,NSW1,2015/08/06 07:00:00,9682.35,96.19,TRADE
254,NSW1,2015/08/06 07:30:00,10242.21,77.07,TRADE
255,NSW1,2015/08/06 08:00:00,10582.01,111.5,TRADE
256,NSW1,2015/08/06 08:30:00,10531.85,75.29,TRADE
257,NSW1,2015/08/06 09:00:00,10218.37,53.44,TRADE
258,NSW1,2015/08/06 09:30:00,10005.91,53.15,TRADE
259,NSW1,2015/08/06 10:00:00,9750.61,41.96,TRADE
260,NSW1,2015/08/06 10:30:00,9536.27,37.99,TRADE
261,NSW1,2015/08/06 11:00:00,9357.84,37.96,TRADE
262,NSW1,2015/08/06 11:30:00,9095.24,35.02,TRADE
263,NSW1,2015/08/06 12:00:00,8929.77,35.35,TRADE
264,NSW1,2015/08/06 12:30:00,8792.06,36.0,TRADE
265,NSW1,2015/08/06 13:00:00,8684.78,33.04,TRADE
266,NSW1,2015/08/06 13:30:00,8656.51,34.58,TRADE
267,NSW1,2015/08/06 14:00:00,8638.31,34.9,TRADE
268,NSW1,2015/08/06 14:30:00,8647.27,34.23,TRADE
269,NSW1,2015/08/06 15:00:00,8670.77,34.31,TRADE
270,NSW1,2015/08/06 15:30:00,8713.88,35.11,TRADE
271,NSW1,2015/08/06 16:00:00,8869.99,35.78,TRADE
272,NSW1,2015/08/06 16:30:00,9123.18,37.55,TRADE
273,NSW1,2015/08/06 17:00:00,9596.55,39.19,TRADE
274,NSW1,2015/08/06 17:30:00,10231.06,55.28,TRADE
275,NSW1,2015/08/06 18:00:00,11106.58,99.9,TRADE
276,NSW1,2015/08/06 18:30:00,11350.8,65.53,TRADE
277,NSW1,2015/08/06 19:00:00,11426.1,97.86,TRADE
278,NSW1,2015/08/06 19:30:00,11251.99,81.63,TRADE
279,NSW1,2015/08/06 20:00:00,11105.95,53.51,TRADE
280,NSW1,2015/08/06 20:30:00,10995.95,69.8,TRADE
281,NSW1,2015/08/06 21:00:00,10753.84,52.75,TRADE
282,NSW1,2015/08/06 21:30:00,10471.1,40.28,TRADE
283,NSW1,2015/08/06 22:00:00,10042.46,35.03,TRADE
284,NSW1,2015/08/06 22:30:00,9876.48,39.34,TRADE
285,NSW1,2015/08/06 23:00:00,9429.93,35.49,TRADE
286,NSW1,2015/08/06 23:30:00,9212.18,37.98,TRADE
287,NSW1,2015/08/07 00:00:00,9005.4,34.15,TRADE
288,NSW1,2015/08/07 00:30:00,8700.56,36.03,TRADE
289,NSW1,2015/08/07 01:00:00,8430.38,36.03,TRADE
290,NSW1,2015/08/07 01:30:00,8242.74,35.85,TRADE
291,NSW1,2015/08/07 02:00:00,8005.77,35.46,TRADE
292,NSW1,2015/08/07 02:30:00,7656.25,36.03,TRADE
293,NSW1,2015/08/07 03:00:00,7387.47,36.01,TRADE
294,NSW1,2015/08/07 03:30:00,7162.4,35.14,TRADE
295,NSW1,2015/08/07 04:00:00,7034.85,35.31,TRADE
296,NSW1,2015/08/07 04:30:00,7045.98,36.3,TRADE
297,NSW1,2015/08/07 05:00:00,7145.25,37.42,TRADE
298,NSW1,2015/08/07 05:30:00,7531.78,43.56,TRADE
299,NSW1,2015/08/07 06:00:00,7965.53,32.76,TRADE
300,NSW1,2015/08/07 06:30:00,8892.68,32.56,TRADE
301,NSW1,2015/08/07 07:00:00,9789.14,89.52,TRADE
302,NSW1,2015/08/07 07:30:00,10345.71,46.29,TRADE
303,NSW1,2015/08/07 08:00:00,10700.92,82.47,TRADE
304,NSW1,2015/08/07 08:30:00,10635.42,60.93,TRADE
305,NSW1,2015/08/07 09:00:00,10320.61,43.15,TRADE
306,NSW1,2015/08/07 09:30:00,10136.11,41.82,TRADE
307,NSW1,2015/08/07 10:00:00,9869.9,35.5,TRADE
308,NSW1,2015/08/07 10:30:00,9639.9,35.14,TRADE
309,NSW1,2015/08/07 11:00:00,9328.81,34.78,TRADE
310,NSW1,2015/08/07 11:30:00,9073.4,34.98,TRADE
311,NSW1,2015/08/07 12:00:00,8886.44,35.0,TRADE
312,NSW1,2015/08/07 12:30:00,8727.94,34.97,TRADE
313,NSW1,2015/08/07 13:00:00,8563.24,33.68,TRADE
314,NSW1,2015/08/07 13:30:00,8477.31,33.7,TRADE
315,NSW1,2015/08/07 14:00:00,8406.68,32.85,TRADE
316,NSW1,2015/08/07 14:30:00,8355.11,34.27,TRADE
317,NSW1,2015/08/07 15:00:00,8315.78,34.14,TRADE
318,NSW1,2015/08/07 15:30:00,8377.06,34.74,TRADE
319,NSW1,2015/08/07 16:00:00,8555.26,34.98,TRADE
320,NSW1,2015/08/07 16:30:00,8831.18,35.31,TRADE
321,NSW1,2015/08/07 17:00:00,9213.85,36.46,TRADE
322,NSW1,2015/08/07 17:30:00,9807.6,36.66,TRADE
323,NSW1,2015/08/07 18:00:00,10548.91,66.32,TRADE
324,NSW1,2015/08/07 18:30:00,10777.3,48.1,TRADE
325,NSW1,2015/08/07 19:00:00,10767.19,48.71,TRADE
326,NSW1,2015/08/07 19:30:00,10579.27,48.33,TRADE
327,NSW1,2015/08/07 20:00:00,10452.96,43.63,TRADE
328,NSW1,2015/08/07 20:30:00,10313.2,41.68,TRADE
329,NSW1,2015/08/07 21:00:00,10161.38,40.63,TRADE
330,NSW1,2015/08/07 21:30:00,9964.34,35.8,TRADE
331,NSW1,2015/08/07 22:00:00,9707.3,35.77,TRADE
332,NSW1,2015/08/07 22:30:00,9671.32,44.6,TRADE
333,NSW1,2015/08/07 23:00:00,9361.99,38.3,TRADE
334,NSW1,2015/08/07 23:30:00,9211.07,40.04,TRADE
335,NSW1,2015/08/08 00:00:00,9078.45,41.42,TRADE
336,NSW1,2015/08/08 00:30:00,8760.7,39.0,TRADE
337,NSW1,2015/08/08 01:00:00,8547.7,38.03,TRADE
338,NSW1,2015/08/08 01:30:00,8296.17,38.35,TRADE
339,NSW1,2015/08/08 02:00:00,8032.59,35.08,TRADE
340,NSW1,2015/08/08 02:30:00,7595.2,35.11,TRADE
341,NSW1,2015/08/08 03:00:00,7299.71,35.35,TRADE
342,NSW1,2015/08/08 03:30:00,7027.75,35.19,TRADE
343,NSW1,2015/08/08 04:00:00,6874.7,33.08,TRADE
344,NSW1,2015/08/08 04:30:00,6780.24,34.95,TRADE
345,NSW1,2015/08/08 05:00:00,6804.24,35.3,TRADE
346,NSW1,2015/08/08 05:30:00,6869.57,34.95,TRADE
347,NSW1,2015/08/08 06:00:00,7035.32,35.73,TRADE
348,NSW1,2015/08/08 06:30:00,7441.5,35.98,TRADE
349,NSW1,2015/08/08 07:00:00,7776.07,35.52,TRADE
350,NSW1,2015/08/08 07:30:00,8302.4,35.88,TRADE
351,NSW1,2015/08/08 08:00:00,8850.47,39.1,TRADE
352,NSW1,2015/08/08 08:30:00,9211.73,42.05,TRADE
353,NSW1,2015/08/08 09:00:00,9267.31,40.98,TRADE
354,NSW1,2015/08/08 09:30:00,9265.41,41.15,TRADE
355,NSW1,2015/08/08 10:00:00,9015.45,38.83,TRADE
356,NSW1,2015/08/08 10:30:00,8812.99,36.44,TRADE
357,NSW1,2015/08/08 11:00:00,8521.53,36.55,TRADE
358,NSW1,2015/08/08 11:30:00,8277.03,36.02,TRADE
359,NSW1,2015/08/08 12:00:00,8108.03,35.95,TRADE
360,NSW1,2015/08/08 12:30:00,7918.58,35.64,TRADE
361,NSW1,2015/08/08 13:00:00,7798.7,35.15,TRADE
362,NSW1,2015/08/08 13:30:00,7732.37,35.16,TRADE
363,NSW1,2015/08/08 14:00:00,7643.61,35.0,TRADE
364,NSW1,2015/08/08 14:30:00,7597.13,35.0,TRADE
365,NSW1,2015/08/08 15:00:00,7599.28,34.98,TRADE
366,NSW1,2015/08/08 15:30:00,7684.39,35.9,TRADE
367,NSW1,2015/08/08 16:00:00,7884.54,36.31,TRADE
368,NSW1,2015/08/08 16:30:00,8178.81,36.17,TRADE
369,NSW1,2015/08/08 17:00:00,8564.33,35.8,TRADE
370,NSW1,2015/08/08 17:30:00,9117.55,38.31,TRADE
371,NSW1,2015/08/08 18:00:00,9925.45,66.37,TRADE
372,NSW1,2015/08/08 18:30:00,10186.65,93.18,TRADE
373,NSW1,2015/08/08 19:00:00,10126.26,72.29,TRADE
374,NSW1,2015/08/08 19:30:00,9938.36,45.22,TRADE
375,NSW1,2015/08/08 20:00:00,9726.0,38.71,TRADE
376,NSW1,2015/08/08 20:30:00,9622.02,35.95,TRADE
377,NSW1,2015/08/08 21:00:00,9436.49,36.01,TRADE
378,NSW1,2015/08/08 21:30:00,9361.76,36.07,TRADE
379,NSW1,2015/08/08 22:00:00,9139.36,36.03,TRADE
380,NSW1,2015/08/08 22:30:00,9076.61,36.06,TRADE
381,NSW1,2015/08/08 23:00:00,8841.14,36.23,TRADE
382,NSW1,2015/08/08 23:30:00,8699.28,35.83,TRADE
383,NSW1,2015/08/09 00:00:00,8458.28,35.75,TRADE
384,NSW1,2015/08/09 00:30:00,8158.53,36.03,TRADE
385,NSW1,2015/08/09 01:00:00,7876.12,36.03,TRADE
386,NSW1,2015/08/09 01:30:00,7594.07,34.56,TRADE
387,NSW1,2015/08/09 02:00:00,7364.08,35.92,TRADE
388,NSW1,2015/08/09 02:30:00,7062.05,35.97,TRADE
389,NSW1,2015/08/09 03:00:00,6829.94,34.46,TRADE
390,NSW1,2015/08/09 03:30:00,6625.65,31.57,TRADE
391,NSW1,2015/08/09 04:00:00,6580.1,32.68,TRADE
392,NSW1,2015/08/09 04:30:00,6518.35,31.67,TRADE
393,NSW1,2015/08/09 05:00:00,6559.33,31.03,TRADE
394,NSW1,2015/08/09 05:30:00,6648.56,33.1,TRADE
395,NSW1,2015/08/09 06:00:00,6805.89,35.09,TRADE
396,NSW1,2015/08/09 06:30:00,7119.66,36.88,TRADE
397,NSW1,2015/08/09 07:00:00,7395.05,35.07,TRADE
398,NSW1,2015/08/09 07:30:00,7809.3,34.24,TRADE
399,NSW1,2015/08/09 08:00:00,8254.77,36.26,TRADE
400,NSW1,2015/08/09 08:30:00,8655.16,35.77,TRADE
401,NSW1,2015/08/09 09:00:00,8833.38,36.35,TRADE
402,NSW1,2015/08/09 09:30:00,8823.07,37.19,TRADE
403,NSW1,2015/08/09 10:00:00,8710.57,36.01,TRADE
404,NSW1,2015/08/09 10:30:00,8515.64,35.71,TRADE
405,NSW1,2015/08/09 11:00:00,8227.48,32.97,TRADE
406,NSW1,2015/08/09 11:30:00,8005.41,32.01,TRADE
407,NSW1,2015/08/09 12:00:00,7789.48,32.49,TRADE
408,NSW1,2015/08/09 12:30:00,7628.43,32.01,TRADE
